推广创意,ID,推广计划,推广单元,计划类型,状态,创意图片,商品SKU,落地页地址,到期时间,创意尺寸,展现数,点击数,点击率(%),总费用,千次展现成本,平均点击成本,直接订单行,直接订单金额,间接订单行,间接订单金额,总订单行,总订单金额,直接购物车数,间接购物车数,总购物车数,转化率(%),ROI,CPA,资源位,
10023869017108-智能手表,3484739451,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/162048/13/13762/161960/6053fcd2E2324da0d/62bd1bcddf411fea.jpg,10023869017108,https://item.jd.com/10023869017108.html,不限,350×350,75,2,2.67,0.59,7.87,0.30,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10023869017108-智能手表,3484739451,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/162048/13/13762/161960/6053fcd2E2324da0d/62bd1bcddf411fea.jpg,10023869017108,https://item.jd.com/10023869017108.html,不限,350×350,97,3,3.09,2.37,24.43,0.79,0,0.00,0,0.00,0,0.00,0,1,1,0.00,0.00,0.00,搜索,
10023869017108-智能手表,3484739451,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/162048/13/13762/161960/6053fcd2E2324da0d/62bd1bcddf411fea.jpg,10023869017108,https://item.jd.com/10023869017108.html,不限,350×350,10,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10023869017107-智能手表,3484739450,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/162303/11/13610/159706/60543180E84284044/b161cf4caa3dc637.jpg,10023869017107,https://item.jd.com/10023869017107.html,不限,350×350,1546,67,4.33,56.79,36.73,0.85,0,0.00,0,0.00,0,0.00,3,0,3,0.00,0.00,0.00,汇总,
10023869017107-智能手表,3484739450,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/162303/11/13610/159706/60543180E84284044/b161cf4caa3dc637.jpg,10023869017107,https://item.jd.com/10023869017107.html,不限,350×350,184,2,1.09,0.59,3.21,0.30,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10023869017107-智能手表,3484739450,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/162303/11/13610/159706/60543180E84284044/b161cf4caa3dc637.jpg,10023869017107,https://item.jd.com/10023869017107.html,不限,350×350,1231,61,4.96,54.79,44.51,0.90,0,0.00,0,0.00,0,0.00,3,0,3,0.00,0.00,0.00,搜索,
10023869017107-智能手表,3484739450,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/162303/11/13610/159706/60543180E84284044/b161cf4caa3dc637.jpg,10023869017107,https://item.jd.com/10023869017107.html,不限,350×350,131,4,3.05,1.41,10.76,0.35,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,商品,
10026523009294-智能手表,3484739449,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/163957/22/13337/166784/6053fcddE52f2d2d6/7d61c4bc0b4eca49.jpg,10026523009294,https://item.jd.com/10026523009294.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,汇总,
10026523009294-智能手表,3484739449,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/163957/22/13337/166784/6053fcddE52f2d2d6/7d61c4bc0b4eca49.jpg,10026523009294,https://item.jd.com/10026523009294.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,推荐,
10026523009294-智能手表,3484739449,华为GT2PRO,华为GT2pro,商品,有效,jfs/t1/163957/22/13337/166784/6053fcddE52f2d2d6/7d61c4bc0b4eca49.jpg,10026523009294,https://item.jd.com/10026523009294.html,不限,350×350,0,0,0.00,0.00,0.00,0.00,0,0.00,0,0.00,0,0.00,0,0,0,0.00,0.00,0.00,搜索,
